========================================================================================
  NSGA-III vs QI-NSGA-III vs MOEA/D -- comparaison statistique a 3 (IRP)
========================================================================================
  Instance          : 100 clients
  Seeds             : [42, 137, 271]
  Generations       : 300 (partagees, meme budget nominal)
  Pop NSGA-III      : 200
  Pop QI-NSGA-III   : 200
  Pop MOEA/D        : 165 (= len(ref_dirs), non reglable independamment)
========================================================================================

--- seed=42 ---
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      200 |      6 |  0.000000E+00 |  7.2987261181 |             - |             -
     2 |      400 |      7 |  0.000000E+00 |  0.0300000000 |  0.1283696709 |         nadir
     3 |      600 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0375939850 |         ideal
     4 |      800 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2008829274 |         nadir
     5 |     1000 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1367521368 |         ideal
     6 |     1200 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0506977606 |             f
     7 |     1400 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0879438176 |         ideal
     8 |     1600 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0987623974 |         ideal
     9 |     1800 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1672215696 |         nadir
    10 |     2000 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1134086137 |             f
    11 |     2200 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0916513980 |         ideal
    12 |     2400 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2485207101 |         ideal
    13 |     2600 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1084337349 |         ideal
    14 |     2800 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0491670163 |         nadir
    15 |     3000 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0513631410 |             f
    16 |     3200 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0543924975 |             f
    17 |     3400 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1846238356 |         ideal
    18 |     3600 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0328947368 |         ideal
    19 |     3800 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0952380952 |         ideal
    20 |     4000 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0168580188 |         ideal
    21 |     4200 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0232558140 |         ideal
    22 |     4400 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0702702703 |         ideal
    23 |     4600 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1351748789 |         ideal
    24 |     4800 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2018899379 |         ideal
    25 |     5000 |     11 |  0.000000E+00 |  0.000000E+00 |  0.4682539683 |         nadir
    26 |     5200 |     10 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    27 |     5400 |      6 |  0.000000E+00 |  0.000000E+00 |  0.7957904127 |         nadir
    28 |     5600 |      8 |  0.000000E+00 |  0.000000E+00 |  0.1428571429 |         ideal
    29 |     5800 |      8 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    30 |     6000 |      8 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    31 |     6200 |      8 |  0.000000E+00 |  0.000000E+00 |  0.6650482072 |         nadir
    32 |     6400 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1720943585 |         ideal
    33 |     6600 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0252100840 |         ideal
    34 |     6800 |     11 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    35 |     7000 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0652851224 |             f
    36 |     7200 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0380906614 |             f
    37 |     7400 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1720369729 |         ideal
    38 |     7600 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0243500451 |             f
    39 |     7800 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0158010468 |             f
    40 |     8000 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1678321678 |         ideal
    41 |     8200 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1178637782 |         ideal
    42 |     8400 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1085271318 |         ideal
    43 |     8600 |     11 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    44 |     8800 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0301516324 |             f
    45 |     9000 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1623376623 |         ideal
    46 |     9200 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2508027609 |         nadir
    47 |     9400 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0579121744 |         ideal
    48 |     9600 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0694444444 |         ideal
    49 |     9800 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0526315789 |         ideal
    50 |    10000 |     13 |  0.000000E+00 |  0.000000E+00 |  0.0832211709 |         ideal
    51 |    10200 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1173788103 |         ideal
    52 |    10400 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1025641026 |         nadir
    53 |    10600 |     12 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    54 |    10800 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2580645161 |         ideal
    55 |    11000 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1071428571 |         ideal
    56 |    11200 |     10 |  0.000000E+00 |  0.000000E+00 |  0.3933922708 |         ideal
    57 |    11400 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1084786351 |         nadir
    58 |    11600 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1593926136 |         ideal
    59 |    11800 |     13 |  0.000000E+00 |  0.000000E+00 |  0.0169918156 |             f
    60 |    12000 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0160516898 |             f
    61 |    12200 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0557748597 |             f
