[NSGA3] mutation_prob = 1/D = 1/600 = 0.001667
[NSGA3] 100 clients | 5 periods | 6 vehicles | 500 genes | pop=200 gen=300 | runs=1

[NSGA3] === Run 1/1  seed=42 ===
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      200 |      6 |  0.000000E+00 |  7.2987261181 |             - |             -
     2 |      400 |      7 |  0.000000E+00 |  0.0500000000 |  0.1283696709 |         nadir
     3 |      600 |      5 |  0.000000E+00 |  0.000000E+00 |  0.3057630335 |         nadir
     4 |      800 |      6 |  0.000000E+00 |  0.000000E+00 |  0.2307692308 |         ideal
     5 |     1000 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2727272727 |         ideal
     6 |     1200 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3848199395 |         nadir
     7 |     1400 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2849792616 |         ideal
     8 |     1600 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2485934624 |         nadir
     9 |     1800 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0139860140 |         ideal
    10 |     2000 |     13 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    11 |     2200 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0133333333 |         ideal
    12 |     2400 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0491929673 |             f
    13 |     2600 |      8 |  0.000000E+00 |  0.000000E+00 |  0.3651643729 |         nadir
    14 |     2800 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0442539029 |             f
    15 |     3000 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1242236025 |         ideal
    16 |     3200 |     10 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    17 |     3400 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1311348873 |         ideal
    18 |     3600 |      7 |  0.000000E+00 |  0.000000E+00 |  0.0733333333 |         ideal
    19 |     3800 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1573033708 |         ideal
    20 |     4000 |     13 |  0.000000E+00 |  0.000000E+00 |  0.9825280294 |         nadir
    21 |     4200 |     17 |  0.000000E+00 |  0.000000E+00 |  0.2915817286 |         ideal
    22 |     4400 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0152284264 |         ideal
    23 |     4600 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2712597602 |         nadir
    24 |     4800 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0247524752 |         ideal
    25 |     5000 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0982893538 |         nadir
    26 |     5200 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0282355737 |         ideal
    27 |     5400 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0707547170 |         ideal
    28 |     5600 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1699936466 |         nadir
    29 |     5800 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0715778552 |         ideal
    30 |     6000 |      3 |  0.000000E+00 |  0.000000E+00 |  0.1512079567 |         ideal
    31 |     6200 |      3 |  0.000000E+00 |  0.000000E+00 |  0.0915409069 |         ideal
    32 |     6400 |      3 |  0.000000E+00 |  0.000000E+00 |  0.1666666667 |         ideal
    33 |     6600 |      4 |  0.000000E+00 |  0.000000E+00 |  0.0920283096 |         ideal
    34 |     6800 |      4 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    35 |     7000 |      5 |  0.000000E+00 |  0.000000E+00 |  0.6104746874 |         ideal
    36 |     7200 |      5 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    37 |     7400 |      5 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    38 |     7600 |      5 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    39 |     7800 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2994470972 |         ideal
    40 |     8000 |      7 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    41 |     8200 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0385494319 |             f
    42 |     8400 |      6 |  0.000000E+00 |  0.000000E+00 |  0.5269050425 |         ideal
    43 |     8600 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2772277228 |         nadir
    44 |     8800 |      7 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    45 |     9000 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0273522839 |             f
    46 |     9200 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2142330358 |         ideal
    47 |     9400 |      9 |  0.000000E+00 |  0.000000E+00 |  0.4236657196 |         nadir
    48 |     9600 |      8 |  0.000000E+00 |  0.000000E+00 |  0.3819755992 |         ideal
    49 |     9800 |      7 |  0.000000E+00 |  0.000000E+00 |  0.0483968894 |         nadir
    50 |    10000 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0215887507 |             f
    51 |    10200 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1250000000 |         ideal
    52 |    10400 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1272727273 |         ideal
    53 |    10600 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0756302521 |         ideal
    54 |    10800 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0952362709 |         nadir
    55 |    11000 |     14 |  0.000000E+00 |  0.000000E+00 |  0.3703703704 |         nadir
    56 |    11200 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1229037770 |         ideal
    57 |    11400 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1094517442 |         ideal
    58 |    11600 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1454545455 |         nadir
    59 |    11800 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0087439444 |             f
    60 |    12000 |     15 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    61 |    12200 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0390055703 |             f
    62 |    12400 |     17 |  0.000000E+00 |  0.000000E+00 |  0.1198253072 |         ideal
    63 |    12600 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0108186955 |             f
